Date Separator: / (379)
    クワシオ語 (カメルーン), 0x1000, nmg-CM
    ンジエムブーン語 (カメルーン), 0x1000, nnh-CM
    ヌエル語 (南スーダン), 0x1000, nus-SS
    ニャンコレ語 (ウガンダ), 0x1000, nyn-UG
    オロモ語 (エチオピア), 0x0472, om-ET
    オロモ語 (ケニア), 0x1000, om-KE
    オディア語 (インド), 0x0448, or-IN
    パンジャブ語 (アラビア文字、パキスタン), 0x0846, pa-Arab-PK
    パンジャブ語 (グルムキー文字、インド), 0x1000, pa-Guru-IN
    ナイジェリア・ピジン語 (ナイジェリア), 0x1000, pcm-NG
    パシュトゥー語 (アフガニスタン), 0x0463, ps-AF
    パシュトゥー語 (パキスタン), 0x1000, ps-PK
    ポルトガル語 (アンゴラ), 0x1000, pt-AO
    ポルトガル語 (ブラジル), 0x0416, pt-BR
    ポルトガル語 (スイス), 0x1000, pt-CH
    ポルトガル語 (カーボベルデ), 0x1000, pt-CV
    ポルトガル語 (赤道ギニア), 0x1000, pt-GQ
    ポルトガル語 (ギニアビサウ), 0x1000, pt-GW
    ポルトガル語 (ルクセンブルク), 0x1000, pt-LU
    ポルトガル語 (中華人民共和国マカオ特別行政区), 0x1000, pt-MO
    ポルトガル語 (モザンビーク), 0x1000, pt-MZ
    ポルトガル語 (ポルトガル), 0x0816, pt-PT
    ポルトガル語 (サントメ・プリンシペ), 0x1000, pt-ST
    ポルトガル語 (東ティモール), 0x1000, pt-TL
    ケチュア語 (ボリビア), 0x1000, qu-BO
    ケチュア語 (エクアドル), 0x1000, qu-EC
    ケチュア語 (ペルー), 0x1000, qu-PE
    ルンディ語 (ブルンジ), 0x1000, rn-BI
    ロンボ語 (タンザニア), 0x1000, rof-TZ
    ルワ語 (タンザニア), 0x1000, rwk-TZ
    サンスクリット語 (インド), 0x044F, sa-IN
    サハ語 (ロシア), 0x0485, sah-RU
    サンブル語 (ケニア), 0x1000, saq-KE
    サンターリー語 (オルチキ文字、インド), 0x1000, sat-Olck-IN
    サング語 (タンザニア), 0x1000, sbp-TZ
    シンド語 (デーバナーガリー文字、インド), 0x0459, sd-Deva-IN
    セナ語 (モザンビーク), 0x1000, seh-MZ
